longitude,latitude
-74.08363940000001,40.71821129999999
-74.0789,40.71113
-74.07840594649316,40.7246050998869
-74.07195925712584,40.72572613742557
-74.07145500183104,40.72210378668603
-74.07126188278198,40.71928220070703
-74.07106071710588,40.72755146730012
-74.0686011314392,40.70965083364061
-74.06762212514876,40.7253399253558
-74.066921,40.737711
-74.06661093235016,40.71435836870427
-74.0641943,40.7236589
-74.06391263008119,40.73089709786179
-74.06285852193831,40.71346382669195
-74.0625,40.733670000000004
-74.05950307846071,40.73496102000952
-74.0575736,40.7311689
-74.05727148056029,40.74590996631558
-74.0557013,40.711242299999995
-74.05247829999999,40.7376037
-74.051788633,40.742677141
-74.05099,40.71942
-74.05065640000001,40.7241765
-74.050443636,40.734785818
-74.0503889322281,40.726011729646245
-74.04996782541275,40.72163014263835
-74.0496379137039,40.71653978099194
-74.0487903356552,40.72568548362901
-74.047726625,40.71848892
-74.04696375131606,40.73520838045357
-74.046304543,40.72152515
-74.04595255851744,40.723331586464354
-74.04557168483734,40.72528910781132
-74.044247311,40.727595965999996
-74.04399090000001,40.7443187
-74.04384499999999,40.717732500000004
-74.0431174635887,40.71958611647166
-74.04288411140442,40.72165072487999
-74.04281705617905,40.71458403535893
-74.04105,40.71649
-74.04044330120088,40.748715945380226
-74.03891444206238,40.71835519823214
-74.03852552175522,40.7124188237569
-74.03805095,40.721123600000006
-74.03768330812454,40.71517767732029
-74.03648570000001,40.712774200000005
-74.0354826,40.7242941
-74.034234,40.71925170000001
-74.03375890000001,40.7272235
-74.0335519,40.7141454
-74.0334588,40.7162469
-74.03281,40.71687
-74.03210820000001,40.728744799999994
-74.01713445,40.70834698
-74.01677685,40.70569254
-74.01658354,40.715337899999994
-74.01575600000001,40.711512
-74.01361706,40.70463334
-74.01322069,40.71754834
-74.013012,40.7149787
-74.01129573583603,40.7277140777778
-74.01122331619263,40.71485150526252
-74.01043382,40.70905623
-74.0103006362915,40.72019521437465
-74.009447,40.711065999999995
-74.0091059,40.71625008
-74.00859100000001,40.728846000000004
-74.00838676,40.703799200000006
-74.007756,40.746745000000004
-74.00747358798982,40.742753828659026
-74.00722156,40.70862144
-74.00711384,40.73291553
-74.00674436,40.73172428
-74.00670227,40.70355377
-74.00612572,40.70530954
-74.00566443,40.72243797
-74.00552427,40.71146364
-74.00507032871245,40.73944820130404
-74.00297088,40.72710258
-74.00277668,40.76087502
-74.00218427181244,40.750181563256824
-74.0021163,40.75594159
-74.00166999999999,40.707873
-74.00165855884552,40.72494672359416
-74.00149746,40.74177603
-74.000271,40.735238
-73.99974372,40.71602118
-73.99973337,40.71910537
-73.99949601,40.72362738
-73.99800419,40.73532427
-73.99596,40.718821999999996
-73.993915,40.746646999999996
-73.99383605,40.70277159
-73.99238967,40.73726186
-73.99074142,40.73454567
-73.9900262,40.75640548
-73.98848395,40.74901271
-73.98802084,40.7172274
-73.987167,40.695065
-73.98672670125961,40.70140317257725
-73.9851615,40.76370739
-73.98490707,40.74765947
-73.98316936,40.75527307
-73.98192338,40.7652654
-73.98165557,40.73221853
-73.98093044757842,40.779668090073116
-73.98014437,40.75500254
-73.9786517,40.7829391
-73.97770600000001,40.751872999999996
-73.97632328,40.68382604
-73.97573881,40.73314259
-73.97402311,40.75971079999999
-73.97283406,40.78499979
-73.96961715,40.78472675
-73.96759673,40.75934501
-73.9590255,40.8143256
-73.956461,40.813358
-73.9551508,40.81
-73.95324736833571,40.81439443791581
-73.93207671353592,40.703005688283646
